Job,Operation,Machine,Start,Duration,End
15,5,10,196,60,256
18,5,10,386,99,485
17,7,10,653,68,721
6,9,10,730,60,790
19,7,10,861,94,955
8,8,10,955,18,973
2,5,10,1015,95,1110
10,9,10,1110,86,1196
1,8,10,1203,62,1265
14,8,10,1319,66,1385
16,6,10,1387,89,1476
7,8,10,1479,52,1531
3,6,10,1531,67,1598
9,5,10,1598,82,1680
5,7,10,1726,29,1755
13,5,10,1787,23,1810
12,9,10,1811,66,1877
20,5,10,1906,7,1913
11,9,10,1967,17,1984
4,9,10,1984,38,2022
15,6,9,256,26,282
10,8,9,317,62,379
6,5,9,393,99,492
18,8,9,580,46,626
17,6,9,645,8,653
8,5,9,778,63,841
1,5,9,901,34,935
19,9,9,991,5,996
2,6,9,1110,23,1133
14,6,9,1181,72,1253
7,5,9,1290,88,1378
12,5,9,1399,43,1442
3,7,9,1598,40,1638
4,6,9,1659,100,1759
5,8,9,1759,56,1815
16,9,9,1835,35,1870
13,8,9,1875,30,1905
11,8,9,1905,62,1967
20,7,9,1972,8,1980
9,9,9,1989,20,2009
10,7,8,272,45,317
15,9,8,404,93,497
6,6,8,497,67,564
18,9,8,626,89,715
17,8,8,721,60,781
19,6,8,788,73,861
8,7,8,870,75,945
1,6,8,945,72,1017
2,7,8,1133,82,1215
5,6,8,1215,35,1250
14,7,8,1253,66,1319
7,6,8,1379,5,1384
3,5,8,1481,41,1522
12,7,8,1692,89,1781
4,8,8,1790,25,1815
13,6,8,1815,7,1822
16,8,8,1822,13,1835
11,6,8,1835,58,1893
9,8,8,1905,84,1989
20,9,8,1995,23,2018
10,5,7,212,16,228
15,7,7,282,45,327
18,7,7,512,68,580
17,5,7,580,65,645
6,8,7,650,80,730
19,5,7,730,58,788
8,9,7,973,33,1006
14,5,7,1175,6,1181
2,8,7,1215,52,1267
1,9,7,1267,45,1312
7,7,7,1391,81,1472
16,7,7,1476,91,1567
3,8,7,1638,25,1663
9,6,7,1680,79,1759
4,7,7,1759,31,1790
12,8,7,1790,21,1811
5,9,7,1815,55,1870
11,7,7,1893,6,1899
20,6,7,1913,59,1972
13,9,7,1972,29,2001
10,6,6,228,44,272
15,8,6,327,77,404
18,6,6,485,27,512
6,7,6,564,86,650
17,9,6,781,7,788
8,6,6,841,29,870
19,8,6,955,36,991
1,7,6,1017,32,1049
5,5,6,1049,86,1135
2,9,6,1267,53,1320
16,5,6,1320,67,1387
14,9,6,1387,56,1443
12,6,6,1443,96,1539
7,9,6,1539,69,1608
4,5,6,1608,48,1656
3,9,6,1663,42,1705
11,5,6,1821,10,1831
13,7,6,1831,44,1875
9,7,6,1875,30,1905
20,8,6,1980,15,1995
15,1,5,24,25,49
6,0,5,69,93,162
10,3,5,165,34,199
11,0,5,256,66,322
18,3,5,334,2,336
17,0,5,381,2,383
5,2,5,395,68,463
19,1,5,472,45,517
8,2,5,617,63,680
1,3,5,812,55,867
2,2,5,867,65,932
7,0,5,933,82,1015
14,3,5,1027,75,1102
12,0,5,1112,89,1201
16,3,5,1202,75,1277
3,1,5,1310,17,1327
9,0,5,1413,9,1422
4,3,5,1490,95,1585
13,3,5,1667,49,1716
20,2,5,1716,56,1772
8,0,4,6,79,85
15,4,4,145,51,196
10,4,4,199,13,212
6,3,4,222,48,270
5,0,4,276,1,277
18,1,4,281,49,330
11,1,4,330,9,339
17,2,4,407,83,490
19,2,4,520,100,620
1,4,4,874,24,898
2,3,4,932,16,948
16,1,4,1094,17,1111
14,4,4,1111,64,1175
7,4,4,1202,80,1282
12,3,4,1291,74,1365
3,3,4,1413,49,1462
4,2,4,1462,27,1489
9,4,4,1561,33,1594
13,1,4,1594,68,1662
20,3,4,1772,57,1829
10,0,3,0,14,14
15,2,3,49,69,118
6,2,3,218,4,222
18,2,3,330,4,334
11,2,3,339,66,405
17,4,3,509,65,574
19,3,3,629,66,695
1,0,3,695,19,714
8,4,3,714,64,778
2,0,3,784,63,847
14,0,3,847,21,868
5,4,3,958,89,1047
16,0,3,1066,19,1085
7,2,3,1120,12,1132
12,2,3,1254,37,1291
3,0,3,1291,19,1310
4,1,3,1390,71,1461
9,2,3,1499,31,1530
20,0,3,1611,36,1647
13,2,3,1662,5,1667
15,0,2,0,24,24
10,2,2,70,95,165
6,1,2,165,53,218
18,0,2,218,63,281
5,1,2,287,100,387
8,1,2,387,31,418
17,3,2,490,19,509
19,4,2,695,30,725
1,2,2,744,68,812
2,1,2,848,11,859
14,2,2,936,88,1024
7,1,2,1025,95,1120
16,2,2,1120,82,1202
12,1,2,1202,52,1254
3,2,2,1328,79,1407
9,1,2,1428,64,1492
13,0,2,1513,73,1586
4,4,2,1587,19,1606
11,3,2,1752,46,1798
20,4,2,1829,77,1906
10,1,1,14,56,70
15,3,1,118,27,145
6,4,1,270,57,327
18,4,1,336,50,386
17,1,1,386,21,407
19,0,1,422,48,470
5,3,1,470,94,564
8,3,1,682,28,710
1,1,1,714,30,744
14,1,1,868,68,936
2,4,1,948,67,1015
7,3,1,1140,60,1200
16,4,1,1277,34,1311
4,0,1,1340,42,1382
12,4,1,1389,7,1396
3,4,1,1468,12,1480
9,3,1,1540,13,1553
20,1,1,1655,53,1708
13,4,1,1716,67,1783
11,4,1,1801,12,1813
