Job,Operation,Machine,Start,Duration,End
3,3,6,10,8,18
1,5,6,21,3,24
2,4,6,24,10,34
6,3,6,34,9,43
5,4,6,43,4,47
4,6,6,50,9,59
2,3,5,13,10,23
1,6,5,24,6,30
3,6,5,30,7,37
5,3,5,37,5,42
4,5,5,42,8,50
6,5,5,54,4,58
3,2,4,6,4,10
1,4,4,14,7,21
6,2,4,27,3,30
4,4,4,37,3,40
2,6,4,44,4,48
5,6,4,57,1,58
1,1,3,0,1,1
3,1,3,1,5,6
2,2,3,8,5,13
5,1,3,22,9,31
4,3,3,32,5,37
6,6,3,58,1,59
2,1,2,0,8,8
1,3,2,8,6,14
4,1,2,19,5,24
6,1,2,24,3,27
3,5,2,27,1,28
5,2,2,31,3,34
1,2,1,4,3,7
3,4,1,18,9,27
4,2,1,27,5,32
2,5,1,34,10,44
6,4,1,44,10,54
5,5,1,54,3,57
