Job,Operation,Machine,Start,Duration,End
8,1,10,49,5,54
6,3,10,209,67,276
9,2,10,312,48,360
10,3,10,365,60,425
7,4,10,611,11,622
5,2,10,627,87,714
1,9,10,891,12,903
2,6,10,935,85,1020
4,7,10,1020,56,1076
3,9,10,1145,84,1229
7,2,9,154,48,202
6,5,9,320,85,405
9,4,9,447,73,520
10,6,9,529,54,583
8,9,9,583,73,656
2,1,9,667,39,706
5,3,9,714,47,761
4,3,9,761,80,841
1,8,9,841,50,891
3,4,9,948,27,975
8,5,8,263,79,342
9,3,8,363,77,440
1,7,8,440,89,529
7,3,8,543,61,604
5,4,8,765,77,842
10,9,8,842,94,936
4,5,8,936,11,947
6,8,8,947,33,980
2,8,8,1047,74,1121
3,8,8,1121,24,1145
1,6,7,370,70,440
8,7,7,440,48,488
3,1,7,489,22,511
9,5,7,529,74,603
7,7,7,700,98,798
10,8,7,809,29,838
6,7,7,854,90,944
4,6,7,951,69,1020
2,7,7,1020,27,1047
5,9,7,1167,40,1207
6,1,6,97,68,165
8,4,6,205,58,263
1,5,6,269,92,361
10,5,6,471,58,529
5,1,6,529,98,627
9,7,6,669,17,686
2,3,6,786,22,808
7,9,6,808,44,852
4,4,6,873,58,931
3,6,6,1052,25,1077
8,2,5,63,85,148
1,4,5,254,15,269
10,2,5,325,40,365
9,6,5,604,63,667
7,6,5,667,33,700
4,2,5,702,55,757
5,5,5,851,90,941
6,9,5,980,81,1061
3,7,5,1085,34,1119
2,9,5,1121,69,1190
7,1,4,78,76,154
1,3,4,206,44,250
6,6,4,405,78,483
8,8,4,493,86,579
10,7,4,583,72,655
2,2,4,706,80,786
9,9,4,786,84,870
3,3,4,880,68,948
5,6,4,948,98,1046
4,8,4,1076,73,1149
1,2,3,162,35,197
6,4,3,276,44,320
10,1,3,320,5,325
8,6,3,342,95,437
7,5,3,626,36,662
9,8,3,693,93,786
2,4,3,808,88,896
3,5,3,980,68,1048
5,7,3,1048,80,1128
4,9,3,1149,25,1174
6,0,2,0,97,97
1,1,2,144,10,154
8,3,2,154,51,205
9,1,2,242,63,305
10,4,2,425,46,471
4,1,2,608,85,693
7,8,2,801,7,808
3,2,2,844,33,877
2,5,2,896,39,935
5,8,2,1128,39,1167
8,0,1,0,44,44
7,0,1,44,34,78
1,0,1,133,8,141
6,2,1,165,44,209
9,0,1,216,24,240
10,0,1,269,51,320
3,0,1,320,52,372
5,0,1,429,97,526
4,0,1,573,31,604
2,0,1,604,63,667
