Job,Operation,Machine,Start,Duration,End
2,4,10,208,11,219
10,6,10,301,76,377
5,9,10,435,72,507
8,8,10,610,48,658
3,9,10,658,45,703
9,6,10,741,11,752
6,6,10,752,72,824
7,7,10,955,32,987
4,9,10,1079,22,1101
1,10,10,1129,21,1150
10,5,9,237,64,301
5,7,9,301,21,322
3,5,9,453,90,543
2,10,9,543,30,573
8,7,9,581,19,600
6,5,9,700,48,748
4,6,9,844,52,896
9,10,9,907,74,981
7,8,9,993,89,1082
1,9,9,1085,44,1129
5,8,8,383,49,432
2,9,8,470,72,542
3,7,8,553,12,565
10,10,8,566,45,611
8,9,8,661,36,697
9,8,8,792,89,881
4,7,8,896,85,981
1,8,8,1029,56,1085
7,9,8,1085,30,1115
6,10,8,1115,25,1140
10,4,7,230,7,237
2,7,7,376,46,422
8,6,7,422,88,510
5,10,7,510,53,563
3,8,7,568,89,657
9,7,7,752,40,792
4,5,7,835,9,844
7,5,7,892,32,924
1,7,7,967,62,1029
6,8,7,1031,65,1096
5,4,6,71,61,132
8,4,6,301,74,375
10,7,6,377,47,424
2,8,6,424,46,470
3,6,6,543,10,553
6,3,6,553,52,605
9,4,6,605,51,656
7,6,6,930,21,951
1,6,6,956,11,967
4,10,6,1101,43,1144
2,3,5,133,75,208
5,6,5,232,69,301
8,5,5,384,32,416
10,9,5,476,90,566
3,10,5,703,33,736
4,4,5,736,99,835
9,9,5,881,26,907
1,5,5,907,49,956
6,9,5,1104,6,1110
7,10,5,1115,55,1170
5,5,4,197,26,223
2,5,4,271,69,340
3,3,4,340,39,379
10,8,4,424,52,476
9,3,4,523,76,599
6,4,4,605,95,700
8,10,4,700,79,779
7,3,4,801,61,862
1,4,4,862,36,898
4,8,4,981,98,1079
5,1,3,21,14,35
2,2,3,43,90,133
8,1,3,133,31,164
10,3,3,169,61,230
3,4,3,379,74,453
6,1,3,457,84,541
4,2,3,541,95,636
9,5,3,656,85,741
1,3,3,851,9,860
7,4,3,869,13,882
5,3,2,49,22,71
10,1,2,71,85,156
3,1,2,162,91,253
8,3,2,255,46,301
2,6,2,346,28,374
9,2,2,374,69,443
4,1,2,451,81,532
6,2,2,546,2,548
7,1,2,706,46,752
1,2,2,763,78,841
2,1,1,0,43,43
5,2,1,43,6,49
1,1,1,50,29,79
9,1,1,79,76,155
10,2,1,156,13,169
8,2,1,169,86,255
3,2,1,255,85,340
4,3,1,664,71,735
7,2,1,762,37,799
6,7,1,824,47,871
